file,drug,stimulus_type,center_sf,surround_sf,sweeps,clamp_mV,stimID,notes
2026_05_15_0009.abf,control,spot,,,0,-70,14.0,"200um, spiking cell"
2026_05_15_0016.abf,control,center_surround,1.0,2.0,0,-70,21.0,
2026_05_15_0017.abf,control,center_surround,1.0,100.0,0,-70,22.0,
2026_05_15_0018.abf,control,center_surround,1.0,100.0,0,-70,23.0,
2026_05_15_0020.abf,control,center_surround,1.0,4.0,0,-70,25.0,
2026_05_15_0021.abf,control,center_surround,1.0,100.0,0,-70,26.0,
2026_05_15_0022.abf,control,center_surround,1.0,2.0,0,-70,27.0,
2026_05_15_0023.abf,control,center_surround,1.0,8.0,0,-70,28.0,
2026_05_15_0024.abf,control,center_surround,1.0,4.0,0,-70,29.0,
2026_05_15_0025.abf,control,center_surround,1.0,0.5,0,-70,30.0,
2026_05_15_0026.abf,control,center_surround,1.0,100.0,0,-70,31.0,
2026_05_15_0027.abf,control,center_surround,1.0,8.0,0,-70,32.0,
2026_05_15_0028.abf,control,center_surround,1.0,1.0,0,-70,33.0,
2026_05_15_0030.abf,control,center_surround,1.0,100.0,0,-70,,
2026_05_15_0031.abf,control,center_surround,1.0,1.0,0,-70,,
2026_05_15_0032.abf,control,center_surround,1.0,4.0,0,-70,,
2026_05_15_0033.abf,control,center_surround,1.0,4.0,1,-70,,
2026_05_15_0034.abf,ttx,center_surround,1.0,4.0,2;3;4;5,-70,,
2026_05_15_0035.abf,ttx,center_surround,1.0,4.0,1,-70,,
2026_05_15_0035.abf,ttx,center_surround,1.0,4.0,0,-70,,
2026_05_15_0036.abf,ttx,center_surround,1.0,1.0,0,-70,,
2026_05_15_0037.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0038.abf,ttx,center_surround,1.0,0.5,0,-70,,
2026_05_15_0039.abf,ttx,center_surround,1.0,8.0,0,-70,,
2026_05_15_0040.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0041.abf,ttx,center_surround,1.0,4.0,0,-70,,
2026_05_15_0042.abf,ttx,center_surround,1.0,16.0,0,-70,,
2026_05_15_0043.abf,ttx,center_surround,1.0,2.0,0,-70,,
2026_05_15_0044.abf,ttx,center_surround,1.0,6.0,0,-70,,
2026_05_15_0045.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0046.abf,ttx,center_surround,1.0,1.0,0,-70,,
2026_05_15_0047.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0048.abf,ttx,center_surround,1.0,4.0,0,-70,,
2026_05_15_0049.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0050.abf,ttx,center_surround,1.0,8.0,0,-70,,
2026_05_15_0051.abf,ttx,center_surround,1.0,0.5,0,-70,,
2026_05_15_0052.abf,ttx,center_surround,1.0,0.5,0,-70,,
2026_05_15_0053.abf,ttx,center_surround,1.0,16.0,0,-70,,
2026_05_15_0054.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0055.abf,ttx,center_surround,1.0,2.0,0,-70,,
2026_05_15_0056.abf,ttx,center_surround,1.0,1.0,0,-70,,
2026_05_15_0057.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0058.abf,ttx,center_surround,1.0,4.0,0,-70,,
2026_05_15_0059.abf,ttx,center_surround,1.0,1.0,0,-70,,
2026_05_15_0060.abf,ttx,center_surround,1.0,8.0,0,-70,,
2026_05_15_0061.abf,ttx,center_surround,1.0,8.0,0,-70,,
2026_05_15_0062.abf,ttx,center_surround,1.0,0.5,0,-70,,
2026_05_15_0063.abf,ttx,center_surround,1.0,16.0,0,-70,,
2026_05_15_0064.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0065.abf,ttx,center_surround,1.0,2.0,0,-70,,
2026_05_15_0066.abf,ttx,center_surround,1.0,6.0,0,-70,,
2026_05_15_0067.abf,ttx,center_surround,1.0,8.0,0,-70,,
2026_05_15_0068.abf,ttx,center_surround,1.0,1.0,0,-70,,
2026_05_15_0069.abf,ttx,center_surround,1.0,100.0,0,-70,,
2026_05_15_0070.abf,ttx,center_surround,1.0,4.0,0,-70,,
