file,drug,stimulus_type,center_sf,surround_sf,sweeps,clamp_mV,stimID,notes
2026_05_14_0002.abf,control,spot,,,0,-70,4,"200um, WAC?"
2026_05_14_0006.abf,control,center_surround,1.0,1.0,0;1;2,-70,7,center 400um diameter
2026_05_14_0007.abf,control,center_only,1.0,100.0,0;1;2,-70,8,center 400um diameter
2026_05_14_0008.abf,control,center_only,1.0,100.0,0;1;2,-70,9,center 300um diameter
2026_05_14_0010.abf,control,center_surround,1.0,2.0,0;1;2,-70,10,center 300um diameter
2026_05_14_0011.abf,control,center_only,1.0,100.0,0;1;2,-70,11,center 300um diameter
2026_05_14_0012.abf,control,center_only,1.0,100.0,0;1;2,-70,12,center 300um diameter
2026_05_14_0013.abf,control,center_surround,1.0,1.0,0;1;2,-70,13,center 300um diameter
2026_05_14_0014.abf,control,center_surround,1.0,4.0,0;1;2,-70,14,center 300um diameter
2026_05_14_0015.abf,control,center_only,1.0,100.0,0;1;2,-70,15,center 300um diameter
2026_05_14_0016.abf,control,center_surround,1.0,2.0,0;1;2,-70,16,center 300um diameter
2026_05_14_0017.abf,control,center_surround,1.0,8.0,0;1;2,-70,17,center 300um diameter
2026_05_14_0018.abf,control,center_only,1.0,100.0,0;1;2,-70,18,center 300um diameter
2026_05_14_0019.abf,control,center_surround,1.0,0.5,0;1;2,-70,19,center 300um diameter
2026_05_14_0020.abf,control,center_surround,1.0,16.0,0;1;2,-70,20,center 300um diameter
2026_05_14_0021.abf,control,center_surround,1.0,1.0,0;1;2,-70,21,center 300um diameter
2026_05_14_0022.abf,control,center_only,1.0,100.0,0;1;2,-70,22,center 300um diameter
