file,drug,stimulus_type,center_sf,surround_sf,sweeps,clamp_mV,stimID,notes
2026_05_14_0039.abf,control,increasing_spot,,,0;1;2;3,-70,52.0,200um biggest response
2026_05_14_0040.abf,control,center_only,1.0,100.0,0,-70,53.0,
2026_05_14_0041.abf,control,center_surround,1.0,1.0,1,-70,56.0,
2026_05_14_0042.abf,control,center_only,1.0,100.0,0,-70,57.0,
2026_05_14_0043.abf,control,center_only,1.0,100.0,0,-70,58.0,
2026_05_14_0044.abf,control,center_surround,1.0,1.0,0,-70,59.0,
2026_05_14_0045.abf,control,center_surround,1.0,4.0,0,-70,60.0,
2026_05_14_0047.abf,control,center_surround,1.0,2.0,0,-70,62.0,
2026_05_14_0048.abf,control,center_surround,1.0,8.0,0,-70,63.0,
2026_05_14_0049.abf,control,center_surround,1.0,16.0,0,-70,64.0,
2026_05_14_0050.abf,control,center_surround,1.0,0.5,0,-70,65.0,
2026_05_14_0051.abf,control,center_only,1.0,100.0,0,-70,66.0,
2026_05_14_0054.abf,control,center_only,1.0,100.0,0,-70,69.0,
2026_05_14_0055.abf,control,center_surround,1.0,4.0,0,-70,70.0,
2026_05_14_0056.abf,control,center_surround,1.0,2.0,0,-70,71.0,
2026_05_14_0057.abf,control,center_surround,1.0,8.0,0,-70,72.0,
2026_05_14_0058.abf,control,center_surround,1.0,4.0,0,-70,73.0,
2026_05_14_0059.abf,control,center_surround,1.0,4.0,0,-70,53.0,
2026_05_14_0060.abf,control,center_only,1.0,100.0,0,-70,75.0,
2026_05_14_0062.abf,control,center_surround,1.0,2.0,0,-70,77.0,
2026_05_14_0063.abf,control,center_surround,1.0,0.5,0,-70,78.0,
2026_05_14_0064.abf,control,center_only,1.0,100.0,0,-70,79.0,
2026_05_14_0065.abf,control,center_surround,1.0,4.0,0,-70,80.0,
2026_05_14_0066.abf,control,center_surround,1.0,4.0,0,-70,,
2026_05_14_0069.abf,control,center_surround,1.0,4.0,0;1,-70,,
2026_05_14_0070.abf,ttx,center_surround,1.0,4.0,6;7;8;9;10;11,-70,,
2026_05_14_0071.abf,ttx,center_only,1.0,100.0,0;1;2,-70,,
2026_05_14_0072.abf,ttx,center_only,1.0,100.0,0,-70,,
