file,drug,stimulus_type,center_sf,surround_sf,sweeps,clamp_mV,stimID,notes
2026_05_12_0031.abf,control,spot,,,0,-70,34,ON OFF transient?
2026_05_12_0032.abf,control,center_only,1.0,100.0,0,-70,35,center contrast 25 surround 50
2026_05_12_0033.abf,control,center_surround,1.0,1.0,0;1;2,-70,36,center contrast 25 surround contrast 50
2026_05_12_0034.abf,control,center_surround,1.0,8.0,0;1;2,-70,37,center contrast 25 surround contrast 50
2026_05_12_0035.abf,control,center_surround,1.0,16.0,0;1;2,-70,38,center contrast 25 surround contrast 50
2026_05_12_0036.abf,control,center_only,1.0,100.0,0;1;2,-70,39,center contrast 25 surround contrast 50
2026_05_12_0037.abf,control,center_surround,1.0,2.0,0;1;2,-70,40,center contrast 25 surround contrast 50
2026_05_12_0038.abf,control,center_surround,1.0,4.0,0;1;2,-70,41,center contrast 25 surround contrast 50
2026_05_12_0039.abf,control,center_surround,1.0,32.0,0;1;2,-70,42,center contrast 25 surround contrast 50
2026_05_12_0040.abf,control,center_surround,1.0,0.5,0;1;2,-70,43,center contrast 25 surround contrast 50
2026_05_12_0041.abf,control,center_only,1.0,100.0,0;1;2,-70,44,center contrast 25 surround contrast 50
2026_05_12_0042.abf,control,center_only,1.0,100.0,0;1;2,-70,45,center contrast 25 surround contrast 50
2026_05_12_0043.abf,control,center_only,1.0,100.0,0;1;2,-70,46,"center contrast 25 surround contrast 50, right before ttx"
2026_05_12_0044.abf,control,center_only,1.0,100.0,0;1;2,-70,47,"center contrast 25 surround contrast 50, as ttx is being added"
2026_05_12_0045.abf,ttx,center_only,1.0,100.0,0;1;2,-70,48,"center contrast 25 surround contrast 50, 1st rec after ttx"
2026_05_12_0046.abf,ttx,center_only,1.0,100.0,0;1;2,-70,49,center contrast 25 surround contrast 50
2026_05_12_0047.abf,ttx,center_surround,1.0,0.5,0;1;2,-70,50,center contrast 25 surround contrast 50
2026_05_12_0048.abf,ttx,center_surround,1.0,16.0,0;1;2,-70,51,center contrast 25 surround contrast 50
2026_05_12_0049.abf,ttx,center_only,1.0,100.0,0;1;2,-70,52,center contrast 25 surround contrast 50
2026_05_12_0050.abf,ttx,center_surround,1.0,1.0,0;1;2,-70,53,center contrast 25 surround contrast 50
2026_05_12_0051.abf,ttx,center_surround,1.0,8.0,0;1;2,-70,54,center contrast 25 surround contrast 50
2026_05_12_0052.abf,ttx,center_only,1.0,100.0,0;1;2,-70,55,"center contrast 25 surround contrast 50, responses not looking great anymore"
2026_05_12_0053.abf,ttx,center_only,1.0,100.0,0;1;2,-70,56,"center contrast 25 surround contrast 50, resp not great"
2026_05_12_0054.abf,ttx,center_surround,1.0,4.0,0;1;2,-70,57,"center contrast 25 surround contrast 50, resp not great"
2026_05_12_0055.abf,ttx,center_surround,1.0,2.0,0;1;2,-70,58,"center contrast 25 surround contrast 50, resp not great"
